region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long
chattanooga,33590,2019.0,cadillac,cts sedan 4d,good,,other,5897.0,clean,other,rwd,,sedan,black,tn,35.06,-85.25
grand rapids,10900,2013.0,nissan,juke,,,gas,72323.0,clean,manual,fwd,,wagon,white,mi,42.79903,-86.0706
wichita,6995,2016.0,nissan,versa note sv hatchback,excellent,4 cylinders,gas,82051.0,clean,automatic,fwd,compact,hatchback,white,ks,37.7719,-97.3175
western massachusetts,6995,2011.0,ford,fusion se,good,6 cylinders,gas,105000.0,clean,automatic,fwd,full-size,sedan,custom,ma,42.571526,-72.15854
buffalo,45990,2020.0,rover,range evoque p250 se,good,,gas,4157.0,clean,automatic,,,other,black,ny,42.88,-78.85
east idaho,39995,2013.0,gmc,sierra 2500hd,,8 cylinders,diesel,127102.0,clean,automatic,4wd,,truck,blue,id,42.551296,-114.46503
ventura county,12386,2017.0,hyundai,elantra se sedan 4d,excellent,4 cylinders,gas,87741.0,,other,,,sedan,,ca,34.2134,-119.17804
el paso,31995,2019.0,dodge,charger r/t,,8 cylinders,gas,64000.0,clean,automatic,rwd,,sedan,white,tx,31.8383,-106.5364
phoenix,8200,1999.0,mercedes-benz,slk 230,excellent,4 cylinders,gas,80000.0,clean,manual,rwd,,,red,az,33.653324,-112.23856
rochester,9495,2011.0,kia,sorento,like new,6 cylinders,gas,115000.0,clean,automatic,4wd,full-size,SUV,grey,ny,43.1895,-77.8043
visalia-tulare,0,2020.0,hyundai,kona,,,gas,32193.0,clean,automatic,fwd,full-size,SUV,grey,ca,36.6044,-119.4378
atlanta,3600,2003.0,volvo,s60,excellent,6 cylinders,gas,144000.0,clean,automatic,,,,white,ga,33.7655,-84.6469
jacksonville,8999,2013.0,kia,optima ex,,4 cylinders,gas,111253.0,clean,automatic,,,,,fl,30.31322,-81.58233
ft myers / SW florida,15590,2016.0,kia,forte koup sx coupe 2d,good,,gas,53066.0,clean,other,fwd,,coupe,red,fl,26.63,-81.85
denver,36900,2018.0,toyota,tacoma,excellent,6 cylinders,gas,43194.0,clean,automatic,fwd,full-size,truck,silver,co,39.69321,-104.8669
"quad cities, IA/IL",521,2020.0,jeep,grand cherokee,,6 cylinders,gas,23163.0,clean,automatic,4wd,,SUV,silver,il,41.5618,-90.5403
cincinnati,15500,2008.0,ford,mustang gt,,,gas,108000.0,clean,manual,,,,,oh,39.3402,-84.3998
spokane / coeur d'alene,0,2011.0,bmw,x5,,6 cylinders,gas,77953.0,clean,automatic,4wd,,SUV,silver,id,47.766685,-117.40596
denver,63999,2018.0,mercedes-benz,amg gle 43 coupe,like new,,gas,15350.0,clean,automatic,,full-size,,black,co,39.4895,-104.8447
chicago,6000,2010.0,chrysler,town & country,excellent,6 cylinders,gas,161000.0,clean,automatic,fwd,full-size,mini-van,silver,il,41.7814,-87.7705
wichita,12991,2018.0,nissan,altima,good,4 cylinders,gas,81358.0,clean,automatic,fwd,,sedan,grey,ks,37.65044,-97.335106
new hampshire,74990,2019.0,ram,3500,,,diesel,13310.0,clean,automatic,,,pickup,,nh,42.834976,-71.10779
orlando,0,2013.0,toyota,corolla,excellent,,gas,,clean,automatic,fwd,,sedan,grey,fl,28.3078,-81.3681
jersey shore,1500,2005.0,acura,tl,,,gas,117000.0,clean,automatic,,,coupe,,nj,40.2096,-74.0714
minneapolis / st paul,8950,2005.0,lexus,gx 470,excellent,8 cylinders,gas,235406.0,clean,automatic,4wd,full-size,SUV,silver,mn,44.630466,-93.13637
topeka,3895,1998.0,nissan,quest se,good,6 cylinders,gas,128993.0,clean,automatic,fwd,mid-size,mini-van,blue,ks,38.986134,-95.68777
western slope,12288,2009.0,gmc,yukon xl,good,8 cylinders,gas,197484.0,clean,automatic,4wd,full-size,SUV,custom,co,38.496513,-107.89728
sarasota-bradenton,7197,2012.0,ford,focus sel,,4 cylinders,gas,90320.0,clean,automatic,fwd,,hatchback,red,fl,27.29845,-82.48895
madison,5400,2009.0,hyundai,elantra,good,4 cylinders,gas,139689.0,clean,automatic,fwd,mid-size,sedan,blue,wi,43.1205,-89.3523
boise,34200,2018.0,ford,transit 350,good,6 cylinders,gas,35600.0,lien,automatic,rwd,,van,white,id,43.6498,-116.4306
lansing,6995,2006.0,subaru,outback 2.5i awd legacy,excellent,4 cylinders,gas,158945.0,clean,automatic,4wd,full-size,wagon,silver,mi,42.5896,-84.458206
winston-salem,10200,2007.0,chevrolet,suburban,good,8 cylinders,gas,160000.0,clean,automatic,4wd,full-size,SUV,white,nc,36.3339,-80.4391
atlanta,26000,2008.0,chevrolet,silverado 2500 hd,excellent,,diesel,149000.0,clean,automatic,,,,white,ga,33.57409,-85.08549
fort collins / north CO,38000,2015.0,jeep,wrangler unlimited,excellent,6 cylinders,gas,104000.0,clean,manual,4wd,,,,co,40.47885,-105.173996
modesto,31777,2011.0,chevrolet,silverado 2500hd work,,,gas,33000.0,clean,automatic,,,,,ca,36.1149,-115.2161
fort collins / north CO,21900,2007.0,ram,3500,excellent,6 cylinders,diesel,142000.0,clean,automatic,4wd,full-size,truck,red,co,40.2993,-105.1055
worcester / central MA,47590,2019.0,,Genesis G90 5.0 Ultimate Sedan,good,,other,36664.0,clean,other,rwd,,sedan,,ma,42.26,-71.8
olympic peninsula,29999,2018.0,chrysler,300,,6 cylinders,gas,28748.0,clean,automatic,4wd,,sedan,silver,wa,47.1991,-122.3151
manhattan,19990,2013.0,volkswagen,eos sport convertible,good,,gas,24294.0,clean,automatic,fwd,,convertible,blue,ks,39.19,-96.59
boise,49991,2019.0,chevrolet,suburban lt,good,8 cylinders,other,50994.0,clean,automatic,,,hatchback,black,id,43.604233,-116.51473
champaign urbana,38590,2019.0,toyota,tacoma double cab trd,good,,other,12992.0,clean,other,4wd,,pickup,black,il,40.11,-88.26
new york city,9995,2010.0,chevrolet,camaro,,,gas,77047.0,clean,automatic,,compact,coupe,yellow,ny,40.652615,-73.88677
new haven,8495,2010.0,cadillac,cts sedan,,6 cylinders,gas,70300.0,clean,automatic,4wd,,sedan,white,ct,41.51214,-73.021805
gadsden-anniston,38590,2020.0,lincoln,continental sedan 4d,good,6 cylinders,gas,1772.0,clean,other,fwd,,sedan,black,al,34.01,-86.01
western slope,14900,2014.0,ford,fusion titanium,excellent,4 cylinders,gas,66690.0,clean,automatic,4wd,mid-size,sedan,white,co,39.08778,-108.572845
spokane / coeur d'alene,224,2016.0,nissan,rogue,,4 cylinders,gas,89606.0,clean,automatic,4wd,,wagon,,id,47.71589,-116.908035
southwest KS,12895,2014.0,honda,accord,,4 cylinders,gas,146987.0,clean,automatic,fwd,mid-size,sedan,black,ks,35.203068,-101.895004
chattanooga,21590,2017.0,buick,regal premium ii sedan 4d,good,,gas,14934.0,clean,other,fwd,,sedan,white,tn,35.06,-85.25
denver,9000,2006.0,subaru,legacy 2.5i limited,excellent,4 cylinders,gas,87230.0,clean,manual,4wd,,,silver,co,39.6255,-104.7874
