region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long
pueblo,32590,2020.0,chevrolet,traverse lt sport,good,,other,30106.0,clean,other,fwd,,SUV,silver,co,33.7865,-84.4454
madison,10500,2017.0,mitsubishi,outlander,,,gas,136902.0,clean,automatic,,,,,wi,43.6508,-89.7665
baltimore,4300,2009.0,honda,accord,excellent,4 cylinders,gas,178000.0,clean,automatic,,mid-size,sedan,black,md,39.3365,-76.5411
waterloo / cedar falls,4500,2007.0,toyota,prius,,,hybrid,260000.0,clean,automatic,,,,,ia,42.5241,-92.4497
vermont,20295,2017.0,nissan,pathfinder,excellent,6 cylinders,gas,80207.0,clean,automatic,4wd,full-size,SUV,blue,vt,44.1945,-72.4936
fayetteville,12514,2016.0,kia,soul,,4 cylinders,gas,89291.0,clean,automatic,fwd,compact,wagon,black,nc,,
inland empire,450,2000.0,,BARRETO tilt trailer,good,other,other,1000.0,missing,other,rwd,compact,other,orange,ca,33.742542,-116.929634
lansing,4495,2008.0,saturn,vue,,,gas,141568.0,clean,automatic,,,,,mi,43.1824,-84.1122
bellingham,3500,2002.0,cadillac,deville,excellent,8 cylinders,gas,106000.0,clean,automatic,fwd,mid-size,,blue,wa,48.9045,-122.3325
jonesboro,49995,2019.0,ram,2500,,6 cylinders,diesel,41172.0,clean,automatic,4wd,,truck,white,ar,36.058575,-91.90028
jacksonville,4200,2006.0,honda,odyssey,,,gas,150.0,clean,automatic,,,,,fl,30.2407,-81.617
chico,10995,2008.0,gmc,savana passenger,excellent,8 cylinders,gas,132882.0,clean,automatic,rwd,,,,ca,38.611927,-121.42357
springfield,23324,2021.0,chevrolet,equinox,,,gas,858.0,clean,automatic,fwd,,,,mo,38.38262,-93.77344
des moines,16000,2011.0,chevrolet,silverado 2500hd,,,gas,154331.0,clean,automatic,4wd,,,blue,ia,41.636658,-93.619934
fargo / moorhead,30995,2020.0,buick,enclave,excellent,6 cylinders,gas,35915.0,clean,automatic,fwd,full-size,SUV,grey,mn,45.83265,-95.3892
palm springs,32000,2014.0,lexus,is350c,excellent,6 cylinders,gas,37500.0,clean,automatic,rwd,,convertible,white,ca,33.7643,-116.4225
knoxville,33590,2014.0,toyota,tundra crewmax sr5 pickup,good,,other,55251.0,clean,other,,,pickup,red,tn,35.97,-83.94
south coast,16990,2012.0,acura,tsx sedan 4d,good,,gas,69148.0,clean,other,fwd,,sedan,silver,ma,42.35,-71.06
raleigh / durham / CH,9300,2013.0,ford,edge,good,6 cylinders,gas,232484.0,clean,automatic,fwd,,SUV,black,nc,35.6348,-78.451
mankato,20990,2020.0,honda,fit sport hatchback 4d,good,,gas,1668.0,clean,other,fwd,,hatchback,white,mn,44.16,-93.99
raleigh / durham / CH,10995,2015.0,volkswagen,tiguan se awd 4motion,excellent,4 cylinders,gas,106118.0,clean,automatic,4wd,mid-size,SUV,red,nc,35.942608,-78.82611
"kansas city, MO",14900,2013.0,mercedes-benz,benz e350,excellent,6 cylinders,gas,73000.0,rebuilt,automatic,4wd,,sedan,grey,ks,39.0361,-94.5722
atlanta,15590,2015.0,toyota,corolla l sedan 4d,good,,gas,38240.0,clean,other,fwd,,sedan,white,ga,33.76,-84.33
lehigh valley,9995,2013.0,volkswagen,jetta,,5 cylinders,gas,68625.0,clean,automatic,fwd,,sedan,black,pa,40.857,-73.3146
daytona beach,10999,2008.0,nissan,xterra se,like new,6 cylinders,gas,82736.0,clean,automatic,rwd,mid-size,SUV,red,fl,29.0266,-81.3349
sarasota-bradenton,0,2020.0,toyota,camry,,4 cylinders,gas,13761.0,clean,other,fwd,,sedan,grey,fl,27.48133,-82.5719
tulsa,20900,2018.0,chevrolet,equinox,,,gas,23299.0,clean,automatic,fwd,,,,ok,35.623512,-95.965996
amarillo,32495,2016.0,chevrolet,suburban,,8 cylinders,gas,147394.0,clean,automatic,4wd,full-size,SUV,black,tx,35.177307,-101.79447
detroit metro,9414,2011.0,nissan,murano sv awd! awd,excellent,6 cylinders,gas,125475.0,,other,4wd,,SUV,,mi,42.568134,-83.813675
hickory / lenoir,12900,2004.0,ram,2500 4x4,excellent,8 cylinders,gas,95000.0,clean,automatic,4wd,full-size,truck,red,nc,35.729424,-81.33706
bakersfield,17498,2014.0,chevrolet,express cargo van,excellent,,gas,83280.0,clean,automatic,rwd,,,,ca,34.227123,-118.46798
long island,9995,2012.0,volkswagen,beetle,good,5 cylinders,gas,92998.0,clean,automatic,fwd,,other,black,ny,,
wichita,35988,2018.0,chevrolet,traverse premier,like new,,gas,52015.0,clean,automatic,,,,,ks,35.199,-97.4841
central NJ,33333,2016.0,toyota,sienna limited,like new,6 cylinders,gas,27000.0,rebuilt,automatic,fwd,mid-size,mini-van,silver,nj,40.67,-73.9367
eastern shore,33990,2017.0,dodge,challenger r/t scat pack,good,8 cylinders,gas,34020.0,clean,other,rwd,,coupe,orange,md,38.33,-75.08
baltimore,3988,2007.0,volkswagen,rabbit,,5 cylinders,gas,143586.0,clean,automatic,fwd,,coupe,blue,md,39.313576,-76.46397
sarasota-bradenton,4995,2005.0,pontiac,montana sv6,,6 cylinders,gas,135113.0,clean,automatic,fwd,,van,,fl,27.47359,-82.57068
bloomington-normal,31990,2017.0,gmc,sierra 1500 double cab,good,6 cylinders,gas,31496.0,clean,automatic,4wd,,pickup,black,il,40.47,-88.97
baltimore,0,2015.0,subaru,wrx,,,gas,50201.0,clean,manual,,compact,sedan,white,md,38.82345,-76.94738
fredericksburg,9495,2011.0,honda,pilot,,6 cylinders,gas,125000.0,clean,automatic,4wd,,SUV,silver,va,38.2481,-77.4681
athens,4850,2010.0,mazda,3,,,gas,150255.0,clean,automatic,,,,,ga,34.1062,-83.5708
des moines,18500,1999.0,chevrolet,corvette,excellent,8 cylinders,gas,51000.0,clean,manual,rwd,mid-size,coupe,silver,ia,41.5855,-93.6719
south florida,2995,2014.0,chevrolet,impala ltz,like new,6 cylinders,gas,32929.0,rebuilt,automatic,fwd,full-size,sedan,black,fl,25.9894,-80.2153
salem,10995,2012.0,kia,sportage sx,,4 cylinders,gas,120716.0,clean,automatic,4wd,,SUV,blue,or,44.925907,-122.98275
tampa bay area,36590,2019.0,tesla,model 3 standard range,good,,electric,23057.0,clean,other,rwd,,sedan,white,fl,27.9,-82.78
treasure coast,7985,2017.0,hyundai,accent,,,gas,78000.0,clean,automatic,,,,,fl,26.260826,-80.14655
austin,8450,2009.0,mercedes-benz,gl320,good,6 cylinders,diesel,171000.0,clean,automatic,4wd,full-size,SUV,silver,tx,30.374762,-97.69334
salem,12995,2017.0,hyundai,elantra,excellent,,gas,7759.0,clean,automatic,fwd,,sedan,black,or,44.9315,-122.9836
raleigh / durham / CH,0,2021.0,mitsubishi,outlander sport,,4 cylinders,gas,2499.0,clean,automatic,fwd,,SUV,grey,nc,35.648727,-78.46891
hawaii,9900,2005.0,ford,f-150,excellent,,gas,65799.0,clean,automatic,,,,,hi,21.3295,-157.8615
eastern shore,19590,2017.0,acura,ilx sedan 4d,good,,diesel,29014.0,clean,other,fwd,,sedan,black,md,38.33,-75.08
northern panhandle,9700,2012.0,chevrolet,traverse ls,,,gas,135000.0,clean,automatic,,,,,oh,40.3203,-80.625
new hampshire,9995,2014.0,subaru,legacy,,,gas,125638.0,clean,automatic,,,sedan,red,nh,42.914352,-71.38991
el paso,19999,2020.0,nissan,murano,excellent,6 cylinders,gas,12054.0,clean,automatic,rwd,full-size,SUV,white,tx,31.77708,-106.23864
fayetteville,0,2009.0,,fast approvals,like new,4 cylinders,gas,111111.0,clean,automatic,fwd,mid-size,SUV,blue,ar,36.175194,-94.17167
austin,39990,2020.0,toyota,avalon touring sedan 4d,good,6 cylinders,other,5845.0,clean,other,fwd,,sedan,blue,tx,30.26,-97.74
nashville,19990,2017.0,hyundai,sonata plug-in hybrid,good,,hybrid,29254.0,clean,manual,fwd,,sedan,white,tn,36.17,-86.78
dayton / springfield,3500,1999.0,gmc,sierra 1500,,8 cylinders,gas,245642.0,clean,automatic,rwd,,pickup,brown,oh,39.8353,-84.1123
portland,7295,2010.0,subaru,impeza,,,gas,135000.0,clean,automatic,,,,,or,45.386124,-122.81154
greensboro,0,2007.0,toyota,avalon,,,gas,183541.0,clean,automatic,,,,,nc,35.99657,-80.03404
stockton,6300,2005.0,chevrolet,silverado,excellent,8 cylinders,gas,142000.0,clean,automatic,rwd,full-size,,custom,ca,38.3496,-120.77974
central NJ,2950,2008.0,hyundai,elantra,good,4 cylinders,gas,191200.0,clean,automatic,fwd,full-size,sedan,blue,nj,40.50072,-74.40347
mohave county,10995,2009.0,cadillac,cts4,good,6 cylinders,gas,92340.0,clean,automatic,rwd,full-size,sedan,purple,az,35.104538,-114.59461
south florida,1750,2005.0,hyundai,tucson,,,gas,190000.0,clean,automatic,,,,,fl,26.7165,-80.0679
salem,0,2014.0,gmc,terrain,,6 cylinders,gas,83330.0,clean,automatic,4wd,,SUV,,or,44.95077,-122.988335
el paso,30000,2015.0,jeep,wrangler,excellent,6 cylinders,gas,51300.0,clean,automatic,4wd,full-size,SUV,silver,tx,31.8623,-106.5932
great falls,21998,2019.0,chevrolet,malibu,,4 cylinders,gas,13494.0,clean,automatic,fwd,,sedan,,mt,47.69606,-116.7814
greensboro,0,2008.0,honda,civic,,,gas,135512.0,clean,automatic,,sub-compact,sedan,,nc,35.99611,-80.0329
san diego,0,2018.0,ford,f-150,excellent,,gas,38607.0,clean,automatic,4wd,,pickup,grey,ca,32.67365,-117.106735
greensboro,28990,2020.0,buick,encore gx essence sport,good,,gas,21.0,clean,other,,,other,white,nc,36.07,-79.82
huntsville / decatur,24399,2019.0,volkswagen,tiguan,,,gas,26305.0,clean,automatic,,,SUV,white,al,36.171463,-86.497055
daytona beach,1000,2017.0,chevrolet,malibu 1ls,like new,4 cylinders,gas,71502.0,clean,automatic,fwd,,sedan,white,fl,29.2353,-81.0658
oklahoma city,17900,2016.0,ford,explorer,,,gas,111522.0,clean,automatic,fwd,,SUV,white,ok,35.4355,-97.51855
tucson,11995,2014.0,ford,fusion se,,4 cylinders,gas,73121.0,clean,automatic,fwd,,sedan,grey,az,32.236076,-110.87888
chico,8998,2011.0,ford,taurus sel,excellent,6 cylinders,gas,123792.0,clean,automatic,,,other,,ca,38.611374,-121.43033
dubuque,8200,2014.0,chrysler,town and country,good,,gas,98000.0,clean,automatic,fwd,,mini-van,silver,ia,42.515,-90.6819
"st louis, MO",0,2018.0,chevrolet,silverado,,,other,34587.0,clean,automatic,,,,,il,39.0012,-90.9624
akron / canton,39990,2020.0,ford,mustang gt coupe 2d,good,8 cylinders,gas,549.0,clean,other,rwd,,coupe,blue,oh,41.08,-81.52
columbus,27958,2018.0,audi,q3,,4 cylinders,gas,26845.0,clean,automatic,fwd,compact,SUV,black,ga,32.548805,-84.9241
bellingham,29999,2016.0,audi,a6,,other,gas,42923.0,clean,automatic,4wd,,sedan,custom,wa,47.1991,-122.3151
tampa bay area,28995,2014.0,bmw,650i gran coupe m sp,,,gas,71724.0,clean,automatic,,,other,silver,fl,28.044308,-82.45871
las vegas,53900,2015.0,ford,super duty f-350,,8 cylinders,diesel,73020.0,clean,automatic,4wd,,pickup,black,nv,40.362247,-111.78595
chicago,8950,2011.0,nissan,rogue sv,good,4 cylinders,gas,78000.0,clean,automatic,4wd,mid-size,SUV,silver,il,41.3672,-88.4178
nashville,4475,2009.0,buick,lucerne,good,6 cylinders,gas,156117.0,clean,automatic,fwd,,sedan,silver,tn,36.15043,-86.70141
tucson,239995,2017.0,ferrari,488 gtb,,8 cylinders,gas,6012.0,clean,automatic,rwd,,coupe,red,az,32.236076,-110.87888
norfolk / hampton roads,1700,2005.0,honda,civic,like new,4 cylinders,gas,200000.0,clean,automatic,,mid-size,sedan,white,va,36.8716,-76.2312
ft myers / SW florida,0,2013.0,,INTERNATIONAL TERRASTAR,,,diesel,59310.0,clean,automatic,,,other,,fl,25.84051,-80.28268
new haven,23995,2008.0,jeep,wrangler,,,gas,110000.0,clean,automatic,,,,,ct,41.5754,-73.0318
tampa bay area,12900,2008.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,129000.0,clean,automatic,rwd,full-size,pickup,white,fl,28.136032,-82.73975
daytona beach,14400,2012.0,chevrolet,silverado,like new,8 cylinders,gas,143742.0,clean,automatic,,,truck,white,fl,29.196674,-81.01697
nashville,39990,2019.0,nissan,370z nismo coupe 2d,good,6 cylinders,gas,8373.0,clean,other,rwd,,coupe,white,tn,36.17,-86.78
fort collins / north CO,11995,2016.0,dodge,grand caravan,,6 cylinders,gas,129411.0,clean,automatic,fwd,,mini-van,blue,co,40.392757,-104.72785
northwest GA,0,2016.0,bmw,4 series,,4 cylinders,gas,69394.0,clean,automatic,rwd,compact,sedan,black,ga,,
dallas / fort worth,8950,2004.0,chevrolet,silverado,,,gas,231000.0,clean,automatic,,,,,tx,32.9462,-96.7058
wichita falls,13988,2017.0,chevrolet,spark,like new,,gas,18267.0,clean,automatic,,,,,tx,35.199,-97.4841
tri-cities,3000,2001.0,,isuzu rodeo,good,6 cylinders,gas,258000.0,clean,automatic,4wd,mid-size,SUV,green,tn,36.6609,-82.2126
eastern kentucky,13990,2019.0,hyundai,elantra,good,4 cylinders,gas,44225.0,clean,automatic,fwd,,sedan,black,ky,36.006832,-84.014656
chicago,6999,2007.0,chevrolet,tahoe police,,8 cylinders,other,141585.0,clean,automatic,,,SUV,white,il,42.3542,-87.8651
danville,0,2019.0,hyundai,elantra,,,gas,29229.0,clean,automatic,,,,,va,36.70472,-78.90926
montgomery,39990,2020.0,acura,mdx sh-awd sport utility,good,6 cylinders,gas,1237.0,clean,other,,,other,white,al,32.35,-86.28
corpus christi,27990,2017.0,chevrolet,colorado extended cab,good,,gas,22120.0,clean,other,,,pickup,,tx,27.8,-97.39
fredericksburg,7999,2011.0,toyota,camry,good,4 cylinders,gas,112861.0,clean,automatic,fwd,,sedan,white,va,38.9148,-77.47262
holland,9995,2008.0,ford,expedition,,,gas,169501.0,clean,automatic,,,,,mi,43.1824,-84.1122
pittsburgh,14480,2014.0,jeep,grand cherokee,,,gas,106000.0,clean,automatic,4wd,,SUV,green,pa,41.932423,-79.61914
oklahoma city,26900,2017.0,chevrolet,tahoe,,,other,91818.0,clean,automatic,fwd,,SUV,silver,ok,35.4355,-97.51855
grand rapids,15000,2013.0,infiniti,jx35 awd,excellent,4 cylinders,gas,152108.0,clean,manual,4wd,full-size,SUV,black,mi,43.0141,-85.7543
gainesville,8100,2016.0,toyota,yaris,,,gas,108460.0,clean,automatic,fwd,compact,hatchback,red,fl,28.567038,-81.29154
kalamazoo,39775,2017.0,jeep,wrangler unlimited,,6 cylinders,gas,32738.0,clean,automatic,4wd,,SUV,black,mi,42.283726,-85.53169
ventura county,10400,2015.0,nissan,altima 2.5 s,good,,gas,65000.0,clean,automatic,,,,,ca,34.3046,-118.6844
syracuse,45990,2018.0,bmw,7 series 750i xdrive sedan,good,,other,50093.0,clean,other,,,sedan,black,ny,43.04,-76.14
las vegas,17500,2015.0,bmw,428i gran coupe,excellent,4 cylinders,gas,35000.0,rebuilt,automatic,,,,,nv,36.144413,-115.29767
atlanta,39590,2018.0,audi,sq5 premium plus sport,good,6 cylinders,gas,46981.0,clean,other,,,other,,ga,33.75,-84.39
syracuse,44495,2019.0,infiniti,qx80,excellent,8 cylinders,gas,53000.0,clean,automatic,4wd,full-size,SUV,white,ny,42.9258,-76.4052
south bend / michiana,5900,2008.0,lincoln,mkz,good,6 cylinders,gas,83722.0,rebuilt,automatic,fwd,,sedan,silver,in,41.6763,-85.9621
billings,0,2003.0,ford,f-150,,,other,192146.0,clean,automatic,,,,,mt,45.7935,-108.481
southeast IA,0,2013.0,honda,cr-v *fr $499 down guaranteed finance,excellent,4 cylinders,gas,,clean,automatic,fwd,,SUV,white,ia,41.559937,-93.59656
norfolk / hampton roads,2800,2001.0,ford,escape xlt,excellent,6 cylinders,gas,211427.0,clean,automatic,4wd,mid-size,SUV,,va,38.315273,-77.474106
portland,4499,2008.0,chevrolet,cobalt lt special edition,,4 cylinders,gas,140517.0,clean,automatic,fwd,,sedan,white,or,45.501507,-122.43069
tulsa,13901,2009.0,nissan,titan,excellent,8 cylinders,gas,128294.0,clean,automatic,rwd,full-size,truck,white,ok,36.068924,-95.79785
inland empire,21250,2005.0,,international 4300,excellent,8 cylinders,diesel,362853.0,clean,automatic,rwd,,truck,white,ca,34.0316,-117.6187
omaha / council bluffs,8490,2016.0,nissan,sentra s,excellent,4 cylinders,gas,39000.0,rebuilt,automatic,fwd,compact,sedan,black,ia,41.212883,-96.048744
charleston,16988,1987.0,ford,mustang gt,,,gas,1.0,clean,manual,,,,,sc,36.1165,-80.0831
san luis obispo,6995,2013.0,chevrolet,cruze,excellent,,gas,125954.0,clean,automatic,fwd,,,white,ca,35.122158,-120.62617
cincinnati,28590,2019.0,chrysler,300 touring sedan 4d,good,,other,495.0,clean,other,rwd,,sedan,white,oh,39.09,-84.51
worcester / central MA,2675,2003.0,toyota,camry le,good,4 cylinders,gas,200000.0,clean,automatic,fwd,full-size,sedan,brown,ma,42.2541,-71.7746
springfield,32999,2012.0,chevrolet,2500,,,diesel,186676.0,clean,automatic,,,,,il,30.649105,-97.866554
denver,15337,2015.0,volvo,xc60 premier plus**back u,,,gas,104101.0,clean,automatic,4wd,,wagon,,co,39.675976,-105.00864
kokomo,19590,2018.0,honda,civic lx coupe 2d,good,,gas,35931.0,clean,other,fwd,,coupe,white,in,40.47,-86.13
modesto,6995,2010.0,honda,civic vp,,,gas,153475.0,clean,automatic,,,,,ca,37.654594,-120.993805
south jersey,4250,2006.0,ford,expedition,excellent,8 cylinders,gas,195000.0,clean,automatic,4wd,full-size,SUV,black,nj,39.8036,-75.0058
new hampshire,0,2013.0,honda,civic,,,gas,96399.0,clean,automatic,fwd,compact,sedan,,nh,42.756207,-71.21026
northwest GA,38991,2020.0,ford,f-150,,6 cylinders,gas,10554.0,clean,automatic,4wd,full-size,truck,silver,ga,,
raleigh / durham / CH,10999,2012.0,hyundai,sonata,excellent,3 cylinders,gas,87548.0,clean,automatic,fwd,mid-size,sedan,silver,nc,35.465454,-79.15635
charlotte,14500,2012.0,toyota,highlander,excellent,6 cylinders,gas,116736.0,clean,automatic,fwd,,,black,nc,35.244,-80.7387
eau claire,27995,2018.0,chevrolet,traverse,excellent,6 cylinders,gas,32249.0,rebuilt,automatic,4wd,mid-size,SUV,silver,wi,44.40899,-89.88172
oklahoma city,800,2004.0,ford,taurus,excellent,6 cylinders,gas,51000.0,clean,automatic,fwd,mid-size,sedan,silver,ok,35.46522,-97.37078
orlando,4000,2003.0,gmc,sonoma,excellent,,gas,219983.0,clean,automatic,,,,,fl,28.714014,-81.32564
columbia,12500,2007.0,honda,odyssey,good,,gas,147000.0,clean,automatic,fwd,full-size,other,white,sc,34.134235,-80.85671
la crosse,26950,2013.0,audi,s6 prestige quattro awd,,,gas,69094.0,clean,automatic,,,,,wi,44.8346,-91.5159
springfield,17994,2009.0,ford,f250 super duty xlt,excellent,8 cylinders,diesel,149000.0,clean,automatic,4wd,full-size,truck,silver,mo,38.138,-92.6664
salt lake city,8000,2005.0,ford,f-150 xlt,good,6 cylinders,gas,183700.0,clean,automatic,rwd,full-size,van,red,ut,40.372,-111.7333
richmond,29990,2012.0,,International TerraStar,good,8 cylinders,diesel,39013.0,clean,automatic,rwd,full-size,truck,white,va,40.468784,-74.28171
fresno / madera,39995,2011.0,ram,2500 laramie 4wd 6.7 cummins,,6 cylinders,diesel,133590.0,clean,automatic,4wd,,pickup,white,ca,36.775738,-119.80629
western massachusetts,1000,2013.0,honda,accord sedan,,4 cylinders,gas,108745.0,clean,automatic,fwd,,sedan,black,ma,42.145813,-72.49058
mcallen / edinburg,0,2013.0,nissan,maxima s,,,gas,1111111.0,clean,automatic,,,,,tx,26.190643,-97.70853
tulsa,5959,2007.0,mini,cooper,excellent,,gas,96115.0,clean,automatic,,,,,ok,35.990837,-95.8864
vermont,4995,2006.0,,Scion XA,excellent,4 cylinders,gas,152000.0,clean,automatic,fwd,compact,hatchback,grey,vt,44.9502,-72.1376
bakersfield,17990,2018.0,ford,ecosport s sport utility 4d,good,,gas,16106.0,clean,other,4wd,,hatchback,white,ca,35.38,-119.02
houston,2000,1957.0,ford,fairlane,,,gas,1.0,missing,other,,,,,tx,29.397,-94.9203
baltimore,6250,2011.0,chrysler,200 limited,excellent,6 cylinders,gas,113000.0,clean,automatic,fwd,full-size,sedan,silver,md,39.265068,-76.697876
brainerd,7900,2003.0,ford,explorer limited,,8 cylinders,gas,120263.0,clean,automatic,4wd,,,,mn,46.3429,-94.2822
bellingham,12500,1995.0,ford,f-250,excellent,,diesel,298000.0,clean,automatic,4wd,full-size,truck,,wa,48.916454,-122.13784
chico,55995,2019.0,ford,f250 4wd,excellent,,diesel,52259.0,clean,automatic,4wd,,,grey,ca,39.748325,-122.19791
east idaho,17988,2018.0,hyundai,santa fe,like new,4 cylinders,gas,54500.0,clean,automatic,4wd,full-size,,black,id,43.504047,-112.02491
las vegas,6500,2010.0,toyota,prius,excellent,4 cylinders,hybrid,151298.0,clean,automatic,fwd,compact,hatchback,silver,nv,36.0264,-114.95714
skagit / island / SJI,13999,2012.0,bmw,5 series 528i xdrive,good,4 cylinders,gas,80730.0,clean,automatic,,,sedan,grey,wa,48.7542,-122.471
kennewick-pasco-richland,19888,2015.0,bmw,3-series 328i xdrive sedan,,,gas,56625.0,,automatic,4wd,,sedan,,wa,46.58565,-120.47858
bend,8000,1994.0,toyota,4runner sr5,good,6 cylinders,gas,247000.0,clean,manual,4wd,mid-size,SUV,custom,or,44.0571,-121.3134
champaign urbana,15500,2017.0,toyota,corolla,excellent,4 cylinders,gas,32000.0,clean,automatic,,,sedan,black,il,40.1317,-88.2854
charlotte,0,2008.0,honda,civic sdn,,,,,,,,,,,nc,35.982956,-80.00946
lexington,21984,2018.0,toyota,camry,,4 cylinders,gas,13597.0,clean,automatic,fwd,,sedan,,ky,38.21969,-84.541855
grand rapids,66539,2019.0,gmc,sierra 3500hd,,8 cylinders,diesel,40673.0,clean,automatic,4wd,,truck,,mi,42.448986,-85.66195
humboldt county,18000,2006.0,ram,2500,good,6 cylinders,diesel,189300.0,clean,automatic,4wd,full-size,pickup,white,ca,40.577934,-124.26326
amarillo,5000,2014.0,ford,mustang,excellent,6 cylinders,gas,147755.0,clean,automatic,,full-size,coupe,black,tx,33.56194,-101.85631
cincinnati,4999,2005.0,chevrolet,trailblazer,,6 cylinders,gas,159819.0,clean,other,4wd,,SUV,,oh,39.03969,-84.23388
minneapolis / st paul,19950,2014.0,mercedes-benz,glk350 4matic awd,,,gas,75328.0,clean,automatic,,,,,mn,44.8346,-91.5159
spokane / coeur d'alene,62980,2018.0,chevrolet,silverado 3500hd cc work truck,,8 cylinders,other,62633.0,clean,automatic,4wd,,pickup,white,id,47.6584,-117.1568
sarasota-bradenton,22500,2002.0,ford,ranger edge,like new,6 cylinders,gas,1600.0,rebuilt,automatic,4wd,mid-size,pickup,yellow,fl,27.3111,-82.5195
boston,43900,2015.0,chevrolet,silverado 2500hd ltz,excellent,8 cylinders,gas,49675.0,clean,automatic,4wd,,truck,black,ma,42.87873,-71.30247
orlando,7550,2015.0,nissan,versa note,good,4 cylinders,gas,74000.0,clean,automatic,fwd,compact,hatchback,blue,fl,28.2531,-81.6509
central NJ,42990,2017.0,ford,f-650 sd,good,10 cylinders,gas,68655.0,clean,automatic,rwd,full-size,truck,white,nj,40.468784,-74.28171
medford-ashland,35000,2002.0,ram,2500,excellent,6 cylinders,diesel,185000.0,clean,automatic,4wd,full-size,pickup,blue,or,40.5835,-124.1473
cleveland,0,2011.0,volkswagen,cc,excellent,4 cylinders,gas,123000.0,clean,automatic,fwd,,,silver,oh,41.5636,-81.5733
"washington, DC",13495,2014.0,mercedes-benz,c class c 300 sport 4matic,,6 cylinders,gas,93763.0,clean,automatic,4wd,,sedan,silver,dc,38.75919,-77.45371
plattsburgh-adirondacks,24990,2007.0,ford,super duty f-450 drw,good,10 cylinders,gas,46463.0,clean,automatic,rwd,full-size,truck,white,ny,40.468784,-74.28171
hartford,22590,2017.0,fiat,124 spider classica,good,,other,5050.0,clean,other,rwd,,other,,ct,41.76,-72.68
indianapolis,10995,2010.0,honda,odyssey,,,gas,103080.0,clean,automatic,fwd,,,silver,in,39.792953,-86.06479
redding,7988,2016.0,ford,fiesta se - new tires - gas saver - just smogged -,excellent,4 cylinders,gas,,clean,automatic,fwd,sub-compact,sedan,red,ca,38.5892,-121.4057
fayetteville,7499,2010.0,mini,cooper s,,,gas,90000.0,clean,manual,,,,,ar,36.176502,-94.23465
seattle-tacoma,82999,2020.0,ford,lifted f350 diesels lariat,,,diesel,1046.0,clean,automatic,4wd,,truck,white,wa,47.206062,-122.32059
"quad cities, IA/IL",11550,2015.0,nissan,altima,excellent,4 cylinders,gas,65962.0,clean,automatic,fwd,,sedan,black,il,42.4932,-90.7258
baltimore,1200,1998.0,subaru,legacy outback,,,gas,157500.0,clean,automatic,,,,,md,39.287,-76.6476
madison,16480,2014.0,acura,rdx awd,,6 cylinders,gas,108988.0,clean,automatic,4wd,,wagon,white,wi,43.1095,-88.4862
jacksonville,21999,2014.0,ram,pickup 1500 express,excellent,8 cylinders,gas,99311.0,,automatic,4wd,,truck,,nc,35.92081,-78.5458
modesto,17590,2017.0,jeep,renegade sport suv 4d,good,,gas,51642.0,clean,other,4wd,,other,silver,ca,33.779213,-84.41181
boston,16880,2016.0,subaru,outback,,4 cylinders,gas,100696.0,clean,automatic,4wd,,SUV,grey,ma,42.68101,-71.42583
greenville / upstate,25500,2016.0,honda,odyssey,excellent,6 cylinders,gas,55500.0,clean,automatic,fwd,,mini-van,brown,sc,34.8968,-82.2674
orange county,0,2017.0,bmw,x5 xdrive35i,like new,6 cylinders,gas,78000.0,clean,automatic,4wd,,SUV,black,ca,33.7249,-117.909
modesto,10999,2014.0,,Scion tC 10 Series,,4 cylinders,gas,83491.0,clean,automatic,fwd,,coupe,silver,ca,37.797142,-121.230484
nashville,18875,2014.0,ram,1500,good,8 cylinders,gas,185337.0,clean,automatic,4wd,full-size,truck,white,tn,36.15043,-86.70141
little rock,17500,2017.0,gmc,terrain,,,gas,72000.0,clean,automatic,,,,,ar,34.3192,-93.5559
cleveland,27589,2018.0,gmc,terrain,,4 cylinders,gas,44925.0,clean,automatic,4wd,mid-size,SUV,black,oh,41.456783,-81.88369
sarasota-bradenton,68788,2015.0,ford,f-250,,,diesel,31236.0,clean,automatic,4wd,,pickup,black,fl,27.26977,-82.48229
grand rapids,22000,2018.0,jeep,grand cherokee,like new,6 cylinders,gas,129000.0,clean,automatic,4wd,,SUV,white,mi,42.96565,-85.66332
knoxville,40000,1997.0,chevrolet,camaro rs,,,gas,145686.0,clean,automatic,,,,,tn,35.998,-83.9152
phoenix,25000,1956.0,dodge,truck,new,8 cylinders,gas,1.0,clean,automatic,rwd,,,custom,az,33.80234,-112.247
clarksville,33999,2018.0,rover,evoque,,4 cylinders,gas,52689.0,clean,automatic,4wd,,SUV,black,tn,36.5853,-87.4186
oklahoma city,0,2009.0,honda,pilot,,,gas,,clean,automatic,,,other,,ok,35.41445,-97.49171
jacksonville,17719,2017.0,kia,sorento lx,excellent,,gas,59784.0,clean,automatic,fwd,,SUV,,fl,27.5885,-80.3923
new york city,8950,2007.0,honda,pilot,,,gas,156918.0,clean,automatic,4wd,,SUV,,ny,41.552532,-72.99909
ames,17488,2019.0,nissan,rogue sport s,good,,other,44408.0,clean,automatic,fwd,,hatchback,black,ia,42.00642,-93.60793
